"Date","Price","Open","High","Low","Vol.","Change %"
"10/24/2023","49.264","51.000","53.200","48.385","82.84K","-3.92%"
"10/23/2023","51.276","48.000","51.900","47.850","64.69K","0.32%"
"10/20/2023","51.112","51.000","53.250","49.270","77.18K","1.87%"
"10/19/2023","50.172","49.050","50.945","46.665","80.36K","-1.30%"
"10/18/2023","50.833","49.000","51.750","47.320","71.26K","3.96%"
"10/17/2023","48.896","48.500","49.955","46.200","90.33K","0.89%"
"10/16/2023","48.467","53.000","53.335","48.145","97.23K","-10.22%"
"10/13/2023","53.982","52.025","56.100","50.750","102.69K","1.85%"
"10/12/2023","53.002","45.500","53.300","45.100","106.27K","15.05%"
"10/11/2023","46.068","48.900","50.000","45.400","82.02K","-6.85%"
"10/10/2023","49.455","44.490","49.820","44.100","116.24K","12.52%"
"10/09/2023","43.953","39.950","44.615","39.500","101.20K","14.97%"
"10/06/2023","38.231","36.000","38.625","35.605","69.65K","5.59%"
"10/05/2023","36.207","37.255","38.850","35.985","79.93K","-5.81%"
"10/04/2023","38.441","37.500","38.700","36.870","62.73K","3.93%"
"10/03/2023","36.987","38.000","38.600","35.790","89.18K","-5.97%"
"10/02/2023","39.335","42.000","42.665","38.400","76.90K","-6.03%"
"09/29/2023","41.859","42.750","43.205","41.150","59.44K","5.34%"
"09/28/2023","39.736","39.000","41.665","39.000","54.78K","1.12%"
"09/27/2023","39.296","39.500","40.000","38.260","66.41K","-2.54%"
"09/26/2023","40.322","43.600","43.675","39.300","82.76K","-9.27%"
"09/25/2023","44.442","40.000","45.000","39.250","98.49K","11.69%"
"09/22/2023","39.791","37.000","41.940","36.720","101.99K","1.75%"
"09/21/2023","39.105","36.550","39.450","35.000","94.22K","4.88%"
"09/20/2023","37.284","37.300","39.580","35.395","95.17K","1.36%"
"09/19/2023","36.782","34.000","37.600","33.755","77.89K","6.69%"
"09/18/2023","34.475","35.005","35.850","33.895","55.07K","-5.50%"
"09/15/2023","36.483","35.000","36.775","34.200","66.70K","2.71%"
"09/14/2023","35.521","37.750","38.000","35.125","73.48K","-3.52%"
"09/13/2023","36.817","34.700","38.060","34.105","69.72K","6.10%"
"09/12/2023","34.701","36.000","36.700","34.305","74.15K","-3.20%"
"09/11/2023","35.848","35.250","37.950","35.185","80.18K","3.88%"
"09/08/2023","34.508","34.505","36.900","33.920","90.04K","5.35%"
"09/07/2023","32.755","31.075","33.480","30.500","87.60K","5.41%"
"09/06/2023","31.075","34.800","34.900","30.625","82.71K","-9.79%"
"09/05/2023","34.449","34.800","35.000","31.995","63.83K","2.62%"
"09/04/2023","33.571","37.000","37.500","32.925","62.31K","-5.74%"
"09/01/2023","35.617","36.200","37.250","34.190","71.39K","1.68%"
"08/31/2023","35.029","38.005","38.655","34.785","62.85K","-2.68%"
"08/30/2023","35.992","34.175","36.175","33.550","35.03K","2.26%"
